"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"A Good Year","7459300","42064105","7342760","35000000","Nov 10 2006","PG-13","118","20th Century Fox","Based on Book/Short Story","Drama","Contemporary Fiction","Ridley Scott","24","6.8","23149"
"Agora","599903","32912303","null","70000000","May 28 2010","R","141","Newmarket Films","Original Screenplay","Drama","Historical Fiction","null","null","7.3","10054"
"Air Bud","24646936","27555061","null","3000000","Aug 01 1997","PG","97","Walt Disney Pictures","Original Screenplay","Comedy","Kids Fiction","Charles Martin Smith","45","4.6","4698"
"Air Force One","172956409","315268353","null","85000000","Jul 25 1997","R","124","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Wolfgang Petersen","78","6.3","61394"
"Akeelah and the Bee","18848430","18948425","25684049","8000000","Apr 28 2006","PG","null","Lionsgate","Original Screenplay","Drama","Contemporary Fiction","null","83","7.6","8245"
"All the King's Men","7221458","9521458","null","55000000","Sep 22 2006","PG-13","128","Sony Pictures","Based on Book/Short Story","Drama","Historical Fiction","Steven Zaillian","11","6","11994"
"The Alamo","22406362","23911362","null","92000000","Apr 09 2004","PG-13","137","Walt Disney Pictures","Based on Real Life Events","Western","Dramatization","null","30","5.9","10063"
"All About the Benjamins","25482931","25873145","null","14000000","Mar 08 2002","R","95","New Line","Original Screenplay","Comedy","Contemporary Fiction","Kevin Bray","29","5.3","4366"
"Albino Alligator","353480","353480","null","5000000","Jan 17 1997","R","null","Miramax","Original Screenplay","Drama","null","Kevin Spacey","null","5.9","4377"
"Sweet Home Alabama","127214072","163379330","null","38000000","Sep 27 2002","PG-13","109","Walt Disney Pictures","Original Screenplay","Comedy","Contemporary Fiction","Andy Tennant","37","5.8","29891"
"Fat Albert","48114556","48563556","null","45000000","Dec 25 2004","PG","93","20th Century Fox","Based on TV","Comedy","Contemporary Fiction","Joel Zwick","21","4","4801"
"Alice in Wonderland","334191110","1023291110","70909558","200000000","Mar 05 2010","PG","null","Walt Disney Pictures","Based on Book/Short Story","Adventure","Fantasy","Tim Burton","51","6.7","63458"
"Alfie","13395939","35195939","null","40000000","Nov 05 2004","R","null","Paramount Pictures","Remake","Comedy","Contemporary Fiction","Charles Shyer","49","6.1","20769"
"It's All Gone Pete Tong","120620","1470620","null","2000000","Apr 15 2005","R","null","Matson","Based on Real Life Events","Drama","Dramatization","null","null","7.3","7631"
"Ali","58183966","84383966","null","109000000","Dec 25 2001","R","159","Sony Pictures","Based on Real Life Events","Drama","Dramatization","Michael Mann","67","6.6","31785"
"Alien: Resurrection","47795018","160700000","null","60000000","Nov 26 1997","R","108","20th Century Fox","Original Screenplay","Action","Science Fiction","Jean-Pierre Jeunet","null","6.2","66141"
"Alien","80930630","203630630","null","9000000","May 25 1979","R","null","20th Century Fox","Original Screenplay","Horror","Science Fiction","Ridley Scott","97","8.5","180387"
"A Lot Like Love","21835784","47835784","null","25000000","Apr 22 2005","PG-13","null","Walt Disney Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","41","6.4","17929"
"All the Pretty Horses","15527125","18120267","null","45000000","Dec 25 2000","PG-13","null","Miramax","Based on Book/Short Story","Western","Historical Fiction","Billy Bob Thornton","32","5.7","6511"
"Almost Famous","32522352","47371191","null","60000000","Sep 15 2000","R","123","Dreamworks SKG","Original Screenplay","Comedy","Dramatization","Cameron Crowe","88","8","94424"
"Evan Almighty","100289690","173219280","38038256","175000000","Jun 22 2007","PG","78","Universal","Original Screenplay","Comedy","Fantasy","Tom Shadyac","23","5.5","43164"
"Bruce Almighty","242704995","485004995","null","81000000","May 23 2003","PG-13","101","Universal","Original Screenplay","Comedy","Fantasy","Tom Shadyac","48","6.6","92494"
"All or Nothing","184255","184255","null","9000000","Oct 25 2002","R","null","MGM","Original Screenplay","Drama","null","Mike Leigh","null","null","null"
"Alone in the Dark","5178569","8178569","null","20000000","Jan 28 2005","R","96","Lionsgate","Based on Game","Horror","Fantasy","Uwe Boll","1","2.3","26028"
"Alpha and Omega 3D","10115431","10115431","null","20000000","Sep 17 2010","PG","null","Lionsgate","Original Screenplay","Adventure","Kids Fiction","null","null","6.2","83"
"Along Came a Spider","74058698","105159085","null","28000000","Apr 06 2001","R","103","Paramount Pictures","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Lee Tamahori","32","6.1","22994"
"The Dangerous Lives of Altar Boys","1779284","1779284","null","12000000","Jun 14 2002","R","null","ThinkFilm","Based on Book/Short Story","Drama","Contemporary Fiction","null","77","6.9","7943"
"Alatriste","0","22860477","null","28000000","Dec 31 2007","null","135","null","Based on Book/Short Story","Adventure","Historical Fiction","null","null","5.9","4944"
"Alvin and the Chipmunks","217326974","360578644","137516182","55000000","Dec 14 2007","PG","92","20th Century Fox","Based on TV","Comedy","Kids Fiction","Tim Hill","27","5.5","19200"
"Alex & Emma","14208384","15358583","null","30000000","Jun 20 2003","PG-13","null","Warner Bros.","Original Screenplay","Drama","Contemporary Fiction","Rob Reiner","11","5.4","6539"
"Alexander","34297191","167297191","null","155000000","Nov 24 2004","R","175","Warner Bros.","Based on Real Life Events","Adventure","Dramatization","Oliver Stone","16","5.4","59498"
"El Crimen de Padre","5719000","5719000","null","1800000","Nov 15 2002","R","null","Goldwyn Entertainment","Based on Book/Short Story","Drama","Historical Fiction","null","null","null","null"
"American Beauty","130058047","356258047","null","15000000","Sep 15 1999","R","118","Dreamworks SKG","Original Screenplay","Drama","Contemporary Fiction","Sam Mendes","89","8.6","292562"
"An American Carol","7013191","7013191","null","20000000","Oct 03 2008","PG-13","84","Vivendi Entertainment","Original Screenplay","Comedy","Fantasy","David Zucker","12","4.5","6000"
"American Dreamz","7314027","16510971","null","17000000","Apr 21 2006","PG-13","null","Universal","Original Screenplay","Black Comedy","Contemporary Fiction","Paul Weitz","40","5.7","15097"
"Amelia","14246488","19722782","5763807","40000000","Oct 23 2009","PG","null","Fox Searchlight","Based on Book/Short Story","Drama","Dramatization","Mira Nair","21","5.7","3238"
"Le Fabuleux destin d'AmÈlie Poulain","33201661","174201661","null","10350000","Nov 02 2001","R","122","Miramax","Original Screenplay","Comedy","Contemporary Fiction","Jean-Pierre Jeunet","null","8.5","181085"
"American History X","6719864","6719864","null","10000000","Oct 30 1998","R","null","New Line","Original Screenplay","Drama","Contemporary Fiction","null","83","8.6","224857"
"American Gangster","130164645","265697825","72653959","100000000","Nov 02 2007","R","157","Universal","Based on Real Life Events","Drama","Dramatization","Ridley Scott","79","7.9","114060"
"An American Haunting","16298046","27844063","9905802","14000000","May 05 2006","PG-13","null","Freestyle Releasing","Based on Book/Short Story","Horror","Historical Fiction","null","12","4.9","13510"
"Amistad","44212592","44212592","null","40000000","Dec 12 1997","R","152","Dreamworks SKG","Based on Real Life Events","Drama","Dramatization","Steven Spielberg","77","7.1","28477"
"AimÈe & Jaguar","927107","927107","null","6800000","Aug 11 2000","Not Rated","null","Zeitgeist","Based on Book/Short Story","Drama","Dramatization","null","null","7.2","2974"
"Amores Perros","5383834","20883834","null","2000000","Mar 30 2001","R","null","Lionsgate","Original Screenplay","Drama","Contemporary Fiction","Alejandro Gonzalez Inarritu","null","8.1","61083"
"American Pie 2","145096820","286500000","null","30000000","Aug 10 2001","R","105","Universal","Original Screenplay","Comedy","Contemporary Fiction","null","52","6.2","66751"
"American Wedding","104354205","126425115","null","55000000","Aug 01 2003","R","96","Universal","Original Screenplay","Comedy","Contemporary Fiction","null","56","6.1","52210"
"American Pie","101800948","234800000","null","12000000","Jul 09 1999","R","95","Universal","Original Screenplay","Comedy","Contemporary Fiction","Paul Weitz","59","6.9","106624"
"American Psycho","15070285","28674417","null","8000000","Apr 14 2000","R","null","Lionsgate","Based on Book/Short Story","Black Comedy","Historical Fiction","Mary Harron","66","7.4","99424"
"American Splendor","6003587","7978681","null","2000000","Aug 15 2003","R","null","Fine Line","Based on Comic/Graphic Novel","Drama","Contemporary Fiction","null","94","7.6","23686"
"America's Sweethearts","93607673","157627733","null","46000000","Jul 20 2001","PG-13","103","Sony Pictures","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","32","5.7","26899"
"The Amityville Horror","65233369","108047131","null","18500000","Apr 15 2005","R","89","MGM","Remake","Horror","Historical Fiction","null","24","5.8","26303"
"Anacondas: The Hunt for the Blood Orchid","31526393","70326393","null","25000000","Aug 27 2004","PG-13","97","Sony Pictures","Original Screenplay","Horror","Contemporary Fiction","Dwight H. Little","null","4.3","9565"
"Anaconda","65598907","136998907","null","45000000","Apr 11 1997","PG-13","89","Sony Pictures","Original Screenplay","Horror","Contemporary Fiction","null","38","4.2","29430"
"Anastasia","58403409","139801410","null","53000000","Nov 14 1997","G","94","20th Century Fox","Based on Book/Short Story","Musical","Factual","Don Bluth","85","6.6","16513"
"Anchorman: The Legend of Ron Burgundy","84136909","89366354","null","25000000","Jul 09 2004","PG-13","104","Dreamworks SKG","Original Screenplay","Comedy","Historical Fiction","Adam McKay","null","7","78249"
"Angels & Demons","133375846","485975846","32746864","150000000","May 15 2009","PG-13","null","Sony Pictures","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Ron Howard","35","6.7","60114"
"Angela's Ashes","13038660","13038660","null","25000000","Dec 24 1999","R","null","Paramount Pictures","Based on Book/Short Story","Drama","Historical Fiction","Alan Parker","52","7","10185"
"Angel Eyes","24044532","24044532","null","38000000","May 18 2001","R","103","Warner Bros.","Original Screenplay","Drama","Contemporary Fiction","null","32","5.5","11089"
"Anger Management","135560942","195660942","null","56000000","Apr 11 2003","PG-13","106","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","Peter Segal","43","6.1","57088"
"A Night at the Roxbury","30331165","30331165","null","17000000","Oct 02 1998","PG-13","81","Paramount Pictures","Based on TV","Comedy","Contemporary Fiction","null","11","5.7","23259"
"The Animal","55762229","55762229","null","22000000","Jun 01 2001","PG-13","83","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","Luke Greenfield","30","4.6","18601"
"Anna and the King","39251128","39251128","null","75000000","Dec 17 1999","PG-13","147","20th Century Fox","Based on Book/Short Story","Drama","Dramatization","Andy Tennant","51","6.5","14881"
"Analyze That","32122249","54994757","null","60000000","Dec 06 2002","R","96","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","Harold Ramis","27","5.6","24090"
"Analyze This","106885658","176885658","null","30000000","Mar 05 1999","R","103","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","Harold Ramis","68","6.6","52894"
"The Ant Bully","28142535","55181129","28562108","45000000","Jul 28 2006","PG","null","Warner Bros.","Based on Book/Short Story","Adventure","Kids Fiction","null","63","6.2","7766"
"Antitrust","10965209","10965209","null","30000000","Jan 12 2001","PG-13","null","MGM","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","25","6","16263"
"Marie Antoinette","15962471","60862471","16636006","40000000","Oct 20 2006","PG-13","null","Sony Pictures","Based on Book/Short Story","Drama","Dramatization","Sofia Coppola","55","6.4","31877"
"Antz","90757863","152457863","null","60000000","Oct 02 1998","PG","83","Dreamworks SKG","Original Screenplay","Adventure","Kids Fiction","Tim Johnson","95","6.8","37343"
"Anywhere But Here","18653615","18653615","null","23000000","Nov 12 1999","PG-13","114","20th Century Fox","Based on Book/Short Story","Drama","Contemporary Fiction","Wayne Wang","64","5.9","8514"
"Appaloosa","20211394","26111394","10698987","20000000","Sep 19 2008","R","null","Warner Bros.","Based on Book/Short Story","Western","Historical Fiction","Ed Harris","76","6.8","22836"
"Apocalypto","50866635","117785051","43318599","40000000","Dec 08 2006","R","136","Walt Disney Pictures","Original Screenplay","Adventure","Historical Fiction","Mel Gibson","64","7.9","82162"
"Pieces of April","2528664","3284124","null","300000","Oct 17 2003","PG-13","null","MGM","Original Screenplay","Comedy","Contemporary Fiction","null","85","7.2","12153"
"The Apostle","20733485","21277770","null","5000000","Dec 17 1997","PG-13","148","October Films","Original Screenplay","Drama","Contemporary Fiction","Robert Duvall","91","7.1","7757"
"Aquamarine","18597342","22978953","29637202","17000000","Mar 03 2006","PG","null","20th Century Fox","Based on Book/Short Story","Comedy","Fantasy","null","52","4.6","9116"
"Ararat","1693000","1693000","null","15500000","Nov 15 2002","R","null","Miramax","Original Screenplay","Drama","Contemporary Fiction","Atom Egoyan","56","6.6","6763"
"Are We There Yet?","82674398","97918663","null","20000000","Jan 21 2005","PG","94","Sony Pictures","Original Screenplay","Romantic Comedy","Kids Fiction","Brian Levant","12","4.2","8740"
"Arlington Road","24419219","24419219","null","21500000","Jul 09 1999","R","117","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","60","7.2","36051"
"Armageddon","201578182","554600000","null","140000000","Jul 01 1998","PG-13","150","Walt Disney Pictures","Original Screenplay","Adventure","Contemporary Fiction","Michael Bay","42","6.1","194"
"Hey Arnold! The Movie","13684949","13684949","null","10000000","Jun 28 2002","PG","null","Paramount Pictures","Based on TV","Adventure","Kids Fiction","null","30","5.3","1629"
"Against the Ropes","5881504","6429865","null","39000000","Feb 20 2004","PG-13","null","Paramount Pictures","Based on Real Life Events","Drama","Dramatization","Charles S. Dutton","12","5.2","3547"
"King Arthur","51877963","203877963","null","90000000","Jul 07 2004","PG-13","126","Walt Disney Pictures","Traditional/Legend/Fairytale","Adventure","Historical Fiction","Antoine Fuqua","31","6.2","53106"
"Arthur et les Minimoys","15132763","110102340","13012362","80000000","Dec 15 2006","PG","122","Weinstein Co.","Based on Book/Short Story","Adventure","Fantasy","Luc Besson","null","5.9","7626"
"Artificial Intelligence: AI","78616689","235900000","null","90000000","Jun 29 2001","PG-13","146","Warner Bros.","Based on Book/Short Story","Drama","Science Fiction","Steven Spielberg","null","6.9","91901"
"The Art of War","30199105","30199105","null","40000000","Aug 25 2000","R","117","Warner Bros.","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Christian Duguay","16","5.5","12484"
"Astro Boy","19551067","44093014","7166365","65000000","Oct 23 2009","PG","94","Summit Entertainment","Based on Comic/Graphic Novel","Adventure","Super Hero","David Bowers","null","6.4","5265"
"A Serious Man","9228788","30710147","3614635","7000000","Oct 02 2009","R","null","Focus Features","Original Screenplay","Comedy","Historical Fiction","Joel Coen","88","7.2","32396"
"The Astronaut Farmer","11003643","11003643","13774930","13000000","Feb 23 2007","PG","109","Warner Bros.","Original Screenplay","Drama","Contemporary Fiction","Michael Polish","null","6.4","10506"
"As Good as it Gets","148478011","314111923","null","50000000","Dec 24 1997","PG-13","138","Sony Pictures","Original Screenplay","Romantic Comedy","Contemporary Fiction","James L. Brooks","85","7.8","92240"
"A Single Man","9176000","19112672","2010869","7000000","Dec 11 2009","R","null","Weinstein Co.","Based on Book/Short Story","Drama","Historical Fiction","null","85","7.6","14548"
"A Simple Plan","16316273","16316273","null","17000000","Dec 11 1998","R","121","Paramount Pictures","Based on Book/Short Story","Drama","Contemporary Fiction","Sam Raimi","90","7.6","29095"
"Assault On Precinct 13","20040895","36040895","null","30000000","Jan 19 2005","R","null","Focus/Rogue Pictures","Remake","Action","Contemporary Fiction","null","60","7.4","13456"
"The Astronaut's Wife","10672566","10672566","null","34000000","Aug 27 1999","R","null","New Line","Original Screenplay","Thriller/Suspense","Science Fiction","null","16","4.9","20259"
"The A-Team","77222099","176047914","null","110000000","Jun 11 2010","PG-13","119","20th Century Fox","Based on TV","Action","null","Joe Carnahan","47","7.2","29886"
"At First Sight","22365133","22365133","null","40000000","Jan 15 1999","PG-13","128","MGM","Original Screenplay","Drama","Contemporary Fiction","null","33","5.6","6872"
"Aqua Teen Hunger Force: The Movie","5520368","5520368","12134593","750000","Apr 13 2007","R","null","First Look","Based on TV","Comedy","Science Fiction","null","null","null","null"
"ATL","21170563","21170563","29368071","17000000","Mar 31 2006","PG-13","null","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","null","63","4.7","5480"
"Atlantis: The Lost Empire","84052762","186049020","null","90000000","Jun 08 2001","PG","96","Walt Disney Pictures","Based on Book/Short Story","Adventure","Kids Fiction","Gary Trousdale","null","6.4","15552"
"Hearts in Atlantis","24185781","30885781","null","31000000","Sep 28 2001","PG-13","101","Warner Bros.","Based on Book/Short Story","Drama","Fantasy","null","49","6.8","16336"
"Autumn in New York","37752931","90717684","null","40000000","Aug 11 2000","PG-13","106","MGM","Original Screenplay","Drama","Contemporary Fiction","Joan Chen","21","4.8","9309"
"Atonement","50980159","129425746","15678677","30000000","Dec 07 2007","R","130","Focus Features","Based on Book/Short Story","Drama","Contemporary Fiction","Joe Wright","83","7.9","75491"
"The Rules of Attraction","6525762","11799060","null","4000000","Oct 11 2002","R","null","Lionsgate","Based on Book/Short Story","Black Comedy","Contemporary Fiction","null","44","6.7","26634"
"August Rush","31664162","65627510","22082092","25000000","Nov 17 2007","PG","113","Warner Bros.","Based on Real Life Events","Drama","Fantasy","null","37","7.5","28650"
"Across the Universe","24343673","29367143","25759408","45000000","Sep 14 2007","PG-13","133","Sony Pictures","Original Screenplay","Musical","Historical Fiction","null","53","7.5","45611"
"Austin Powers: The Spy Who Shagged Me","206040085","309600000","null","35000000","Jun 10 1999","PG-13","95","New Line","Original Screenplay","Comedy","Historical Fiction","Jay Roach","null","6.6","81005"
"Austin Powers in Goldmember","213117789","292738626","null","63000000","Jul 25 2002","PG-13","94","New Line","Original Screenplay","Comedy","Science Fiction","Jay Roach","54","6.2","69140"
"Austin Powers: International Man of Mystery","53883989","67683989","null","18000000","May 02 1997","PG-13","89","New Line","Original Screenplay","Comedy","Contemporary Fiction","Jay Roach","null","7.1","74487"
"Australia","49551662","207482792","28789275","78000000","Nov 26 2008","PG-13","null","20th Century Fox","Original Screenplay","Drama","Historical Fiction","Baz Luhrmann","54","6.8","38089"
"Auto Focus","2062066","2703821","null","7000000","Oct 18 2002","R","null","Sony Pictures Classics","Based on Book/Short Story","Drama","Dramatization","Paul Schrader","72","6.6","7236"
"Avatar","760167650","2767891499","146153933","237000000","Dec 18 2009","PG-13","null","20th Century Fox","Original Screenplay","Action","Science Fiction","James Cameron","83","8.3","261439"
"The Avengers","23385416","48585416","null","60000000","Aug 14 1998","PG-13","91","Warner Bros.","Based on TV","Action","Contemporary Fiction","null","15","3.4","21432"
"The Aviator","102608827","214608827","null","110000000","Dec 17 2004","PG-13","170","Miramax","Based on Real Life Events","Drama","Dramatization","Martin Scorsese","88","7.6","85740"
"AVP: Alien Vs. Predator","80281096","172543519","null","70000000","Aug 13 2004","PG-13","101","20th Century Fox","Spin-Off","Horror","Science Fiction","Paul Anderson","null","5.4","63019"
"Around the World in 80 Days","24004159","72004159","null","110000000","Jun 16 2004","PG","120","Walt Disney Pictures","Remake","Adventure","Historical Fiction","Frank Coraci","30","5.6","21516"
"Awake","14373825","30757745","13038208","8600000","Nov 30 2007","R","null","Weinstein Co.","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","24","6.5","26076"
"And When Did You Last See Your Father?","1071240","2476491","null","8000000","Jun 06 2008","PG-13","null","Sony Pictures Classics","Based on Book/Short Story","Drama","Dramatization","null","null","6.8","1798"
"Away We Go","9451946","10108016","3788940","21000000","Jun 05 2009","R","98","Focus Features","Original Screenplay","Comedy","Contemporary Fiction","Sam Mendes","66","7.3","14929"
"Don't Say a Word","54997476","104488383","null","50000000","Sep 28 2001","R","113","20th Century Fox","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","null","23","6.1","22157"
"Babe: Pig in the City","18319860","69131860","null","80000000","Nov 25 1998","G","75","Universal","Based on Book/Short Story","Adventure","Kids Fiction","George Miller","61","6.1","9918"
"Babel","34302837","135302837","31459208","20000000","Oct 27 2006","R","null","Paramount Vantage","Original Screenplay","Drama","Contemporary Fiction","Alejandro Gonzalez Inarritu","69","7.6","95122"
"Babylon A.D.","22532572","70216497","16787309","45000000","Aug 29 2008","PG-13","100","20th Century Fox","Based on Book/Short Story","Action","Science Fiction","Mathieu Kassovitz","7","5.3","27189"
"My Baby's Daddy","17321573","17322212","null","12000000","Jan 09 2004","PG-13","null","Miramax","Original Screenplay","Comedy","Contemporary Fiction","null","null","4","2010"
"Super Babies: Baby Geniuses 2","9109322","9109322","null","20000000","Aug 27 2004","PG","null","Sony Pictures","Original Screenplay","Comedy","Kids Fiction","null","null","1.4","10886"
"Baby Geniuses","27151490","27151490","null","13000000","Mar 12 1999","PG","94","Sony Pictures","Original Screenplay","Comedy","Kids Fiction","null","2","2.2","9038"
"Bad Boys II","138540870","272940870","null","130000000","Jul 18 2003","R","147","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Michael Bay","24","6.2","58002"
"Bad Company","30157016","69157016","null","70000000","Jun 07 2002","PG-13","117","Walt Disney Pictures","Original Screenplay","Action","Contemporary Fiction","Joel Schumacher","10","5.3","17901"
"La mala educaciÛn","5211842","40311842","null","5000000","Nov 19 2004","NC-17","null","Sony Pictures Classics","Original Screenplay","Drama","Historical Fiction","Pedro Almodovar","null","7.5","21756"
"Bad Lieutenant: Port of Call New Orleans","1702112","8162545","3902817","25000000","Nov 20 2009","R","null","First Look","Remake","Drama","Contemporary Fiction","Werner Herzog","87","null","null"
"The Bad News Bears","32868349","33500620","null","35000000","Jul 22 2005","PG-13","null","Paramount Pictures","Remake","Comedy","Contemporary Fiction","Richard Linklater","null","7.1","7749"
"Burn After Reading","60355347","163415735","19163475","37000000","Sep 12 2008","R","null","Focus Features","Original Screenplay","Black Comedy","Contemporary Fiction","Joel Coen","78","7.2","92553"
"Bait","15325127","15471969","null","35000000","Sep 15 2000","R","null","Warner Bros.","Original Screenplay","Action","Contemporary Fiction","Antoine Fuqua","26","5.6","5143"
"Boys and Girls","21799652","21799652","null","16000000","Jun 16 2000","PG-13","94","Miramax","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","11","4.9","7779"
"Black and White","5241315","5241315","null","10000000","Apr 05 2000","R","null","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","James Toback","null","6.6","452"
"Bangkok Dangerous","15298133","46598133","15494886","45000000","Sep 05 2008","R","98","Lionsgate","Remake","Action","Contemporary Fiction","Oxide Pang Chun","9","5.4","20931"
"The Banger Sisters","30306281","38067218","null","10000000","Sep 20 2002","R","98","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","47","5.5","7435"
"Les invasions barbares","8460000","8460000","null","5000000","May 09 2003","R","null","Miramax","Original Screenplay","Drama","Contemporary Fiction","null","null","7.8","14322"
"Barney's Great Adventure","11156471","11156471","null","15000000","Apr 03 1998","G","null","Polygram","Based on TV","Adventure","Kids Fiction","null","null","2.1","1456"
"Basic Instinct 2","5946136","35417162","6188980","70000000","Mar 31 2006","R","null","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Michael Caton-Jones","7","3.9","16784"
"Basic","26599248","42598498","null","50000000","Mar 28 2003","R","98","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","John McTiernan","21","6.3","25960"
"Batman Begins","205343774","372353017","null","150000000","Jun 15 2005","PG-13","140","Warner Bros.","Based on Comic/Graphic Novel","Action","Super Hero","Christopher Nolan","84","8.3","270641"
"Battlefield Earth: A Saga of the Year 3000","21471685","29725663","null","80000000","May 12 2000","PG-13","121","Warner Bros.","Based on Book/Short Story","Action","Science Fiction","null","null","2.3","39316"
"The Dark Knight","533345358","1022345358","234119058","185000000","Jul 18 2008","PG-13","152","Warner Bros.","Based on Comic/Graphic Novel","Action","Super Hero","Christopher Nolan","93","8.9","465000"
"Bats","10155691","10155691","null","6500000","Oct 22 1999","R","null","Sony/Columbia","Original Screenplay","Horror","Science Fiction","null","17","3.3","5565"
"The Battle of Shaker Heights","280351","280351","null","1000000","Aug 22 2003","PG-13","null","Miramax","Original Screenplay","Comedy","null","null","43","6.1","2524"
"Baby Boy","28734552","28734552","null","16000000","Jun 27 2001","R","130","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","John Singleton","69","6.1","4485"
"The Curious Case of Benjamin Button","127509326","329809326","42850598","160000000","Dec 25 2008","PG-13","167","Paramount Pictures","Based on Book/Short Story","Drama","Fantasy","David Fincher","72","8","137120"
"Baby Mama","60494212","64391484","24304275","null","Apr 25 2008","PG-13","99","Universal","Original Screenplay","Comedy","Contemporary Fiction","null","63","6.1","16128"
"Bless the Child","29374178","40435694","null","40000000","Aug 11 2000","R","108","Paramount Pictures","Based on Book/Short Story","Thriller/Suspense","Fantasy","Chuck Russell","3","4.8","7765"
"The Bachelor","21731001","36882378","null","21000000","Nov 05 1999","PG-13","101","New Line","Remake","Romantic Comedy","Contemporary Fiction","null","9","4.8","9030"
"The Broken Hearts Club: A Romantic Comedy","1744858","2022442","null","1000000","Sep 29 2000","R","null","Sony Pictures Classics","Original Screenplay","Comedy","Contemporary Fiction","null","null","6.6","3731"
"Be Cool","55849401","94849401","null","75000000","Mar 04 2005","PG-13","115","MGM","Based on Book/Short Story","Comedy","Contemporary Fiction","F. Gary Gray","30","5.6","32082"
"Big Daddy","163479795","234779795","null","30000000","Jun 25 1999","PG-13","95","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","Dennis Dugan","40","4.7","48"
"Bedazzled","37879996","90376224","null","48000000","Oct 20 2000","PG-13","93","20th Century Fox","Remake","Comedy","Contemporary Fiction","Harold Ramis","49","5.9","30946"
"Body of Lies","39394666","108394666","22024703","67500000","Oct 10 2008","R","129","Warner Bros.","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Ridley Scott","52","7.2","53921"
"Blood Diamond","57377916","171377916","62588936","100000000","Dec 08 2006","R","143","Warner Bros.","Original Screenplay","Action","Historical Fiction","Edward Zwick","62","8","118925"
"Mr. Bean's Holiday","33302167","229736344","28248145","25000000","Aug 24 2007","G","88","Universal","Based on TV","Comedy","Contemporary Fiction","null","50","6","28950"
"Beautiful","3134509","3134509","null","9000000","Sep 29 2000","PG-13","null","Destination Films","Original Screenplay","Drama","Contemporary Fiction","Sally Field","15","4.4","2238"
"Beavis and Butt-head Do America","63118386","63118386","null","12000000","Dec 20 1996","PG-13","80","Paramount Pictures","Based on TV","Comedy","Contemporary Fiction","Mike Judge","71","6.6","22918"
"Bend it Like Beckham","32543449","76583333","null","5000000","Mar 12 2003","PG-13","112","Fox Searchlight","Original Screenplay","Drama","Contemporary Fiction","Gurinder Chadha","null","6.9","41052"
"In the Bedroom","35930604","43430604","null","1700000","Nov 23 2001","R","130","Miramax","Based on Book/Short Story","Drama","Contemporary Fiction","Todd Field","93","7.5","20888"
"Bee Movie","126631277","287594577","79628881","150000000","Nov 02 2007","PG","90","Paramount Pictures","Original Screenplay","Comedy","Kids Fiction","Steve Hickner","51","6.3","30575"
"Artie Lange's Beer League","475000","475000","null","2800000","Sep 15 2006","R","null","Freestyle Releasing","Original Screenplay","Comedy","Contemporary Fiction","null","null","null","null"
"Being John Malkovich","22858926","32382381","null","13000000","Oct 29 1999","R","112","USA Films","Original Screenplay","Black Comedy","Fantasy","Spike Jonze","92","7.9","113568"
"Behind Enemy Lines","58855732","58855732","null","40000000","Nov 30 2001","PG-13","106","20th Century Fox","Original Screenplay","Action","Historical Fiction","null","36","6.1","32575"
"Bella","8093373","9220041","5935632","3300000","Oct 26 2007","PG-13","null","Roadside Attractions","Original Screenplay","Drama","Contemporary Fiction","null","null","7.3","6562"
"Beloved","22852487","22852487","null","53000000","Oct 16 1998","R","172","Walt Disney Pictures","Based on Book/Short Story","Drama","Historical Fiction","Jonathan Demme","77","5.3","102"
"Les Triplettes de Belleville","7301288","14440113","null","2000000","Nov 26 2003","PG-13","null","Sony Pictures","Original Screenplay","Musical","Historical Fiction","null","null","7.7","19761"
